"State",Code,"Pop"
"California",CA,"39664128"
"Texas",TX,"30097526"
"Florida",FL,"22177997"
"New York",NY,"19223191"
"Pennsylvania",PA,"12805190"
"Illinois",IL,"12518071"
"Ohio",OH,"11727377"
"Georgia",GA,"10936299"
"North Carolina",NC,"10807491"
"Michigan",MI,"9995212"
"New Jersey",NJ,"8870685"
"Virginia",VA,"8638218"
"Washington",WA,"7887965"
"Arizona",AZ,"7640796"
"Tennessee",TN,"7001803"
"Massachusetts",MA,"6922107"
"Indiana",IN,"6842385"
"Missouri",MO,"6184843"
"Maryland",MD,"6075314"
"Colorado",CO,"5961083"
"Wisconsin",WI,"5867518"
"Minnesota",MN,"5739781"
"South Carolina",SC,"5342388"
"Alabama",AL,"4949697"
"Louisiana",LA,"4616106"
"Kentucky",KY,"4487233"
"Oregon",OR,"4325290"
"Oklahoma",OK,"4007179"
"Connecticut",CT,"3546588"
"Utah",UT,"3363182"
"Nevada",NV,"3238601"
"Puerto Rico",PR,"3194714"
"Iowa",IA,"3174426"
"Arkansas",AR,"3042017"
"Mississippi",MS,"2961536"
"Kansas",KS,"2919179"
"New Mexico",NM,"2109093"
"Nebraska",NE,"1960790"
"Idaho",ID,"1896652"
"West Virginia",WV,"1755715"
"Hawaii",HI,"1401709"
"New Hampshire",NH,"1378449"
"Maine",ME,"1359677"
"Montana",MT,"1093117"
"Rhode Island",RI,"1062583"
"Delaware",DE,"998619"
"South Dakota",SD,"902542"
"North Dakota",ND,"774008"
"Alaska",AK,"720763"
"District of Columbia",DC,"718355"
"Vermont",VT,"622882"
"Wyoming",WY,"582233"